premise	hypothesis	output	language
Iñemoñare ha itágui ojejapóva opytáva ostentoso ha elegante, oñeñongatu porãva decrépito peve.	Ko 'ã cuerpo tradicionalmente oñemongu'íva, noikotevêi umi marcador grave.	contradiction	grn
Ko'ã firma de abogada herakuãvéva tavaguasúpe omonéî peteî ára, ome'êvo abogado-kuérape programa-pe, he'i pozza.	Ko 'ã firma de abogada prestigiosa tavaguasúpe oguejy oike haguã ko programa-pe.	contradiction	grn
Ja'u vaerã amo yvatete.	Ja'u vaerã ñasẽvo tapére.	contradiction	grn
Ary 1962-pe, presidente soviético Nikita Khrushchev omohenda 42 misiles nucleares de alcance medio Cuba-pe.	Mburuvicha soviético ndaija'éi iñenemigokuéra rehe heta ára: umi cubano-kuéra.	contradiction	grn
Umi servicio jurídico oñemoîva'erã extranjero h-2 pópe óga, salario, transporte ha ambue condición de empleo he'íva contrato h-2	Umi servicio jurídico ndaha 'éi obligatorio.	contradiction	grn
Museo Aeropuerto de Santa Mónica de Vuelo ohechauka aviõ ymaguare, ha estación de bergamota (2525 Avenida Michigan), peteĩ estación de tranvía convertida, oreko heta galería de arte, oikehápe museo de arte de Santa Mónica.	Museo oguereko peteĩ galería de arte añónte.	contradiction	grn
Hákatu, ko 'ápe California-pe oî peteî programa upeichaguáva umi delincuente juvenil-kuérape, ndaha 'éiva peligroso ha ndorekóiva encierro, ohóva campamento-pe.	Ndaipóri campo.	contradiction	grn
Uperire ko título oñemotenonde jedive-pe, ojoguáva virrey rehe.	Título oñemboguejy jedive-pe.	contradiction	grn
Ha aguyje ne ñe 'ë poräite rehe.	Che ndaguerohorýi, nde ha 'e peteî tekove tavy, tavy, tavy.	contradiction	grn
PARA DOS 1o) ha'e jave haihára ojopyva 'ekue omo'ã hag̃ua ifamilia, ikatu oje'e ha'e ojokohague umi temimo 'ã; 2o) ndaha'éiramo nde rogaygua iporãmbajepéva, ko'ã ñeha'ã ojokohague hetaiterei tapichápe;	Hetave jave, jehaipyre oúva nde rogayguakuéragui ha 'e peteî idea porâ jepénte ndaipóri mba 'eve ojehúva hesekuéra.	contradiction	grn
Si, equipo de sistemas de defensa umi sistema de defensa rehegua.	Araka 'eve nohendúiva grupo de sistemas de defensa rehegua.	contradiction	grn
Jepéramo heta umi norma omohendáva PCGA federal ha 'éva efectiva, mbohapy ko 'ã norma ndojapomo 'ãi efectivo ary fiscal 1998 peve.	Ko'ã norma omboguatáva PCGA federal ha'e efectivo ary 1990 guive.	contradiction	grn
Mba'éichapa oime peteî ex agente policial omotenondéva peteî laboratorio ojapóva velocidad ilegal?	Mba 'éicha piko peteî chef yma guare oguahê pya'eterei peteî laboratorio-pe?	contradiction	grn
Poder colonial griego okakuaávo rivalidad Atena-Esparta ha presión fenicio Sicilia-pe, ko vacío omyenyhê peteî confederación arrogante tribu latina ha sabine oikóva pokõi colina-pe ojekuaáva Roma ramo.	Atenas-Esparta ha 'e va 'ekue aliado imbaretéva ohecháva opa mba 'e, ha fenicio-kuéra ojapo opa ikatúva oipytyvõ hag̃ua Sicilia-pe.	contradiction	grn
Ko'ã tenda ha'ehína havana café (discoteca hotel de la Habana Meliá Cohiba) ha discoteca hotel homónimo Santiago-pe.	Ko 'ã tenda ha 'éva café habanero ojehesape'va 'erã opa ára.	contradiction	grn
Añetehápe ndachepy'apýiri aha jey mbo'ehaópe apensárõ ndaikatu mo'ãiha añemo'ã jey apañuãi tembiapo ogueraháva ára pukukue	Ndaikatuvéima oho mbo 'ehaópe.	contradiction	grn
(Junta de normas de contabilidad financiera, estado de las normas de contabilidad financiera no.	Ndaipóri reglamentación contable	contradiction	grn
Ohasávo pe tiempo ajerovia osêtaha umi téra oîva	Umi téra hekopegua ndaha 'éi mba 'e guasu ko mba 'épe.	contradiction	grn
Jaikuaaháicha nañaiméi preparádo upearã.	Rojapo ha roime preparádo.	contradiction	grn
Czarek ohechakuaa oîha heta tapicha ho 'úva cerveza doméstica, ha peteî movimiento tuichávape oguenohê peteî botella de licor de palissander, pero avave noñatendéi, porque nowak oñe 'ê ohóvo:	Czarek ojerure peteî cerveza doméstica ijeheguiete.	contradiction	grn
Peteĩ tupão confuciano yma guare ha'e ko'ágã óga histórico Instituto Nacional del Movimiento Campesino, ko'ápe Partido Comunista Chino ombokatupyry umi tendota 1920 década-pe	Movimiento Comunista Chino ojuka umi tendota ko'ápe 1920 década-pe	contradiction	grn
Si, ha 'e peteî umi pop-Ups, aguerovia ikatuha reñemoî peteî, pero ndorojapóiva 'ekue.	Jajapóma ha natekotevêi ñamoî peteî.	contradiction	grn
Peteî michîmi oîva lado loco-pe	Haʼe ndahaʼéi vyrorei.	contradiction	grn
"""Ikatu oî conjunción"". ho'a, hyakuâ asýva, ikorasô otyky""."	Oguejy.	contradiction	grn
Suge, avei, oha'ã mafia estilo, omomba'eguasúvo lealtad ha insularidad opa mba'e ári, ojeréva compinches matón-kuéra rehe.	Suge osêta upégui ndorekóiva iñangirûnguéra.	contradiction	grn
Cultivo imbaretevéva brócoli ha umi mba'e ojoguáva re'u va'erã hetaiterei oĩ jave ha'e oĩ jave michĩva ha'e ha'e hakuve jave pero upérõ	Araka 'eve natekotevêi emboy 'u heta ne brócoli ko 'ãichagua imitãramo.	contradiction	grn
Ko'ã simulación-pe, jaiporu umi hipótesis de ingreso mano de obra Administración de Seguridad Social actuarios omopyendáva proyecciones intermedias en	Ore simulación oiporu marandu oguahëva mano de obra departamento de trabajo-gui.	contradiction	grn
Péro umi rrevísta idiferénte chuguikuéra.	Ko 'ã aranduka ojoguaite ojuehe.	contradiction	grn
Kóva ndaha 'éi he'iséva ko'ã costo noñehesa'ÿijói tuichaháicha.	Ko'ã costo noñehesa'ÿijói gueteri ko'ágã peve.	contradiction	grn
Ojuhúta umi opytava 'ekue fuerte romano galava norte gotyo, confluencia brathay ha rothay, mokõi ysyry ohypýiva lago windermere.	Oje 'e pe fuerte galava ouhague Alemania-gui.	contradiction	grn
Techapyrã, hierro ha acero mba'apohára ha'eva'ekue boilermakers ymaveguare ikatúma omba'apo jey boilermaker ndive pya'eterei.	Tembiapo boilermaker yma guare iñambue ko 'ágãgui, upévare experiencia ohasáva ndorekói ventaja.	contradiction	grn
Oh, upéicha aeróbico impacto naiporãi	Pe impacto iporã umi aeróbico-pe.	contradiction	grn
Si, che ra 'y ha ndikatúi rehendu chupekuéra.	Si, che ra 'y, ko 'ã jirafa ou ore rendápe rohenóivo chupekuéra.	contradiction	grn
Upépe reñuhã, ndereñuhãiri yguasupe.	Roguerohory yguasu rembe'ýpe	contradiction	grn
Ko tenda iporâ picnic-pe ĝuarâ, jepémo ára hesakâ, ikatu reaprovecha pe oportunidad rehupi haĝua pe isla ru 'âme.	Arapytu porã jave, iporãve jajepytu 'u.	contradiction	grn
Impacto de la aplicación de la ley Clinger-Cohen, omopyendáva ary 2000 ha uperire, 8a Encuesta anual sobre los cuos federales, jasypakõi 1997.	Ndaipóri aranduka	contradiction	grn
Ñehesa 'ỹijo mba 'épa he 'ise peteĩ conclusión oĩva umi párrafo 7.45 a 7.48-pe.	Umi elemento ojuhúva oî umi párrafo 7.45 a 7.46.	contradiction	grn
Umi prueba económica umi área geográfica mombyrýva-pe	Ndaipóri tenda ojehecha mombyryha.	contradiction	grn
Umi tenda oikovéva pyharekue g̃uarã, tape Holanda gotyo orekóva umi revista ha umi casino hotel ojekuaáva.	Eho Holanda-pe ikatu hag̃uáicha reñeñandu porã.	contradiction	grn
Yvate gotyo, pch ojoaju terminal oeste sunset boulevard ndive.	Ko'ã extremo norte pch ndoguerekói Sunset Boulevard ypýpe.	contradiction	grn
Um um um así supongo si cuando tengo un trabajo ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha	Ndaha 'éi che jepy 'apy umi póliza de seguro de salud oguahëvo peteî trabajo pyahu.	contradiction	grn
Ome'ê Israel-kuérape biblia de la inteligencia estadounidense de señales, peteî manual ohechaukáva mba'épa añetehápe Estados Unidos ointercepta (he'iséva soviética).	Avave ndoguerekói peteî manual de señales interceptadas.	contradiction	grn
Mokôiha, peteî jehepyme 'ê okañýva, okañy peteî usuario potencial internet explorer-gui.	Mokõiha, cada venta okañýva ogana peteî usuario potencial internet explorer-pe.	contradiction	grn
Ikatu oime haʼe la ojapo vaʼekue.	Iñañeteha ikatu ojehechauka 100% añeteha.	contradiction	grn
"""Nderepy'apýi mba'eve rehe""."	Rerekova 'erã kyhyje.	contradiction	grn
Tetã peteĩ reko Amérikagua ombotovévo anexión Hawai-pe, ha ojerurévo oñemoĩ jey haguã reina, industria azucarera he 'i Hawai ha 'eha peteĩ República, Sanford B. Dole presidente ramo.	Tetã peteĩ reko Amérikagua omoneĩ ojokupyty Hawai.	contradiction	grn
Oiméramo ojepy'amongetáva okẽ hierro forjado rupive ndaha'éi suficiente estrellato renondépe g̃uarã ndéve g̃uarã, ikatu rehecha pe lote tapykuehoha peteĩ gira ambulante-pe.	Kóva ha 'e peteî tenda jepiveguáva oúva gente jepiveguáva añónte.	contradiction	grn
Oh yeah, it's nothing like that it's like living in the hotel I mean you're totally on your own	Haʼe oreko enterovéva oipytyvõva chupe ani hag̃ua opyta haʼeño.	contradiction	grn
Ko periodo mbykymi ha 'eva 'ekue ikatupyryvéva hembiapópe.	Ohupyty hetave mba 'e sapy 'aitépe, avave ojapóvagui hekove pukukue javeve.	contradiction	grn
Ko foto iñambue ko árape.	Ko árape ha 'e peteîchaite.	contradiction	grn
Complejo del templo ojeipyso ko'ã siglo oúvape ha mayma generación ombojoajúva santuario ha monumento imba'éva.	Complejo del templo opyta iñambue 'ỹre heta siglo pukukue javeve.	contradiction	grn
Ha uh... aimo'ã umi aceite tatápe Kuwait ha umi mba'e ha'e va'erã heta contaminación del aire ha'e	Kuwait ndohasái mba 'eveichagua petróleo ha oreko aire limpio.	contradiction	grn
Peteî período de tres segundos oike mboyve ka'irâime sa'ive ovale mbohapy segundo oúva medio de la boda che membykuñágui.	Aiporavóta che aravo che membykuña ñemendahápe, jepevénte ajeruremanteva 'erã tuichave mba 'e kóvagui.	contradiction	grn
Kuarahyreike gotyo plaza-gui, ladrillo masivo siglo XIX-pegua fortaleza de vecchio río adigio-pe ko'ágã oreko museo de arte.	Río Adigio opyta mombyry pe fortaleza de ladrillo-gui.	contradiction	grn
Omba 'apo gueteri, pero deplectivo he 'i ogana 16.000 dólares ko arýpe, oñeha 'ãvo omantene hi 'upyrã mesa ári omongaru haguã ifamilia.	Ingreso anual ohupytýva 16.000 dólares ome 'êva hi 'upyrã hekoresãiva hogayguápe.	contradiction	grn
Corporación de servicios jurídicos de Maryland-gua, oipytyvõva 28 organización ome 'êva asistencia jurídica umi orekóva káso abuso doméstico, disputa entre propietarios ha ambue mba 'e, ombohovái déficit presupuestario 1 millón de dólares ndorekóigui interés umi cuenta oipytyvõva financiación-pe.	Corporación de Servicios Jurídicos de Maryland, ndojapói 10 organización-guive.	contradiction	grn
Periodista libre ndorekóiva ansiedad omoirûvo prisa navideña, Kutler ikatu kuri ohechakuaa orekoha hetave bola ipópe oimo'ãvagui.	Periodista libre ndoipotái oike fiesta navideña-pe.	contradiction	grn
Oguereko influencia considerable movimiento de no violencia Mahatma Gandhi-pe; oiporu ayuno peteî arma moral ha política imbaretéva.	Ndorekói mba'eve efecto movimiento Mahatma Gandhi-pe g̃uarã.	contradiction	grn
Ko 'ã gasto oñemog̃uahẽ valor acumulado-pe ha oike peteĩ asignación de gastos generales.	Umi gasto noñemoherakuãi valor devengado-pe.	contradiction	grn
Ára hesakãvape, jehecha yvate guive ohupyty 65 km (40 millas) rupi, katu py'ỹinte plataforma mokõiha ome'ẽ jehecha iporãvéva.	Jehecha plataforma superior-gui ojejoko opa hendáguio peteî muro de hormigón sólido.	contradiction	grn
He 'iséva pago oñeme 'êva umi mba 'apohára oîva ko 'ágã omba 'apohápe, plan de beneficios de salud rupive.	Ojehepyme'ê omosêvo empleador-pe tekotevêgui ome'ê plan de beneficios de salud.	contradiction	grn
¿ Mbaʼe mbaʼépepa añetehápe?	¿Mbaʼépa hína upéva?	contradiction	grn
Ko arapy ohasávo tatakuápe ha mbovymi ára opytáva, pe mitâkuña rova ha hete sa 'yjúva oîva hi'ári ha'e pe añetegua hechapyrãva.	Pe kuñakarai ivaieterei, ha che ndaipotái apensa upéicha.	contradiction	grn
Añeporandúnte ndéve peteĩ mba 'e.	Oguereko heta porandu oñeporandúva chupe.	contradiction	grn
Ha'e uh-Huh ojapo nderehe embosako'i mba'e térã ehupyty térã ejapo ha'eño	Ndaipóri mbaʼeve ikatúva rejapo remyatyrõ hag̃ua ko mbaʼe, ¿ ajépa?	contradiction	grn
Ko'ágã umi burócrata de telecomunicaciones ha comunicaciones Europa-gua oiporu energía ohapejokóvo innovación ha ohekávo forma omonopolizáva empresa pyahu orekóva alma entera descentralización.	European Telecom, umi burócrata comunicación oipytyvõva innovación.	contradiction	grn
Peteî cesta de ropa, mba'e reikuaáva remoîha ne cuerda ha remoîha ne kuatia upépe ha remoîmbaite ha remoîmbaite ha upéagui apensa ikatúha ajogua umíva	"""Ko'ã ao ojoko umi mba'e ndojoguáiva'erã chéve""."	contradiction	grn
Deparle he 'i avei iména, Donald, oguahêhague omba 'apo hotel-pe mantenimiento ramo.	Iména katu oheka omba 'apo haguã, ha ndojuhúi gueteri.	contradiction	grn
Century Theatre oikuave'ê peteî programa de actuaciones ohóva drama gilbert ha sullivan guive pantomima inglesa peve.	Teatro Century ndoguerekovéima mba 'epu porã.	contradiction	grn
Peteî propuesta de solicitud adecuada ha 'e peteî elemento crítico peteî adquisición exitosa-pe, oikégui contrato vinculante-pe oñemoheñói ha oñemoneî rire peteî propuesta.	Araka 'eve natekotevêi peteî solicitud adecuada umi adquisición exitosa-kuérape guarã.	contradiction	grn
Ojejapo rire ko programa inicial de clasificación de correo, 3623 B) he 'i servicio postal ikatuha ojerure sapy 'a py 'a comisión presente, térã comisión ikatuha omoguahê gobernador-pe ijeheguiete, peteî decisión recomendada umi cambio programa de clasificación de correo-pe.	Programa de clasificación de correo, mba 'eveichagua circunstancia-pe, ikatu oñemoambue.	contradiction	grn
Iporâva'erâ oje'e	Ndaiporimoʼãi haʼe oñeʼẽ vai.	contradiction	grn
Ha oikuaauka chupekuéra avave ndorekoiha mba'yrumýi ndikatúigui omomýi.	Ko'ãva oreko mokõi térã mbohapy mba'yrumýi ha'ekuéra oikuaágui mba'éichapa omomýi	contradiction	grn
Oñemoñe'ê (oje'eháicha cuenta profundamente políticamente incorrecta-pe)	Lee iporâiterei ndojehecharamóivo marandu myasâiha rupi.	contradiction	grn
Ndaha'éi ko'ã mba'e hechapyrãva ha upéi ombohéra Porto Santo (Puerto Santo).	Ndaha 'éi tuicha mba 'e he 'ihaguére chupe isla del circo.	contradiction	grn
Oipytyvô omoañete haguâ umi medida ojeguerekóva ombohovái haguâ umi riesgo.	Ndaikatúi omoañete umi acción ombohováiva riesgo.	contradiction	grn
Ñembyasy, Frank Sinatra ha compañía ndorekovéima condescendencia kassit-kuéra rehe, pero ha'e gueteri peteî café ha restaurante iporãvéva oîva calle Dizengoff-pe.	Sinatra oho gueteri kassit-pe.	contradiction	grn
Stevens, emboty nde juru, kuñakarai ryguasu ogueru kirirĩ.	Stevens oñe 'ê gueteri!	contradiction	grn
Upéva ivaieterei.	Oh, upéva iporâiterei.	contradiction	grn
Derecho Cuarta Enmienda reheguápe, Clinton ndojapói mba 'eve iporãvéva.	Clinton iporâiterei kuri umi derecho oîva Cuarta Enmienda rupive.	contradiction	grn
Ko'ã fresco capilla-pegua oñemohu'ã 1480 década-pe Filipino Lippi, ohaiva'ekue umi pared lateral-pegua panel inferior-kuéra.	Ko'ã fresco capilla-pegua noñemohu'ãiva'ekue 1500 década peve.	contradiction	grn
Ko'ã mba'e ojehecha programa Medicaid-pe ojehecha haguã incidencia posible sobrepago ikatúva oiko fraude ha abuso rehe.	Ojehecha haguã incidencia posible sobrepago, ojecontrata peteî investigador privado.	contradiction	grn
Heta oĩ hendive.	Ndaipóri umíva apytépe.	contradiction	grn
Si, si, especialmente ko 'ápe Raleigh-pe, jaguereko umi bolos de bolos michîvéva.	Oî hetaiterei pista de boliche tavaguasúpe.	contradiction	grn
Peteî historia puku absorción de influencias externas omoheñóiva peteî sociedad ko'ápe gente oha'ãrõ peteî bautismo shinto, peteî boda pseudo-cristiana (jepiveguáicha peteî capilla hotel-pe ha ofirmáva peteî extranjero unordained en bata), ha peteî funeral budista.	Japones-kuéra oikove budista-háicha añónte.	contradiction	grn
Eguereko aire acondicionado nde mba'yrúpe térã	¿ Nde reguereko mba 'yrumýi?	contradiction	grn
Opaite mba 'e oñepyrû ojogua beige-pe.	Oî hetaite sa 'y ojehecha haĝua.	contradiction	grn
Ndaha'éi opavave Estados Unidos-pe ohóva peteî instituto público kakuaaitépe, pero opavave ohóva peteî escuela secundaria oisãmbyhýva popularidad ha pandilla jerarquía.	Mayma tapicha Estados Unidos-pe ohóva mbo'ehao guasu público-pe.	contradiction	grn
Oiméramo reikotevê aravo ndehegui ha nde membykuéragui, hetave hotel tuicháva oreko club de akids iporâva umi ára henyhêva actividad divertida-gui.	Ndaipóri hotel guasu oikuave 'êva servicio de niñera.	contradiction	grn
Oguata avei mombyry tetã gotyo.	Araka 'eve ndohói vaekue mamove.	contradiction	grn
Che ména oime campamento lago lavón-pe iñangirûnguéra ndive ha'e odesidi ogueraha mitãnguérape upépe.	Che ména nohendúi Lago Lavón ha añetehápe ndohói upépe.	contradiction	grn
Peteîva umi 13 km (21 km) loop red rock canyon-pe, ogueraha ciclista-kuérape paisaje más pintoresco ko'ã tendáre ha ndaha'éi ipohýiva.	Circuito Panoramico 13 milla red rock canyon-pe ojehecha hasyetereiha.	contradiction	grn
Upéicharamo jepe, Lind he 'i, pe estrategia de realismo máximo he 'iséva iporãveha oñepyrûva 'ekue defensa, ha oipykúiva 'ekue umi pérdida okakuaaitereígui política nacional ikatu'ÿva oaguanta, oipyhývo realismo mínimo ani haguã oñepyrû ñorairõ.	Realismo mínimo iporãve realismo máximo-gui he 'iháicha Lind.	contradiction	grn
Mávapa nde ypa'ũnguéra rembipota	Nderehói piko pe ypa?	contradiction	grn
Sección de medios de comunicación McCain ombotove incoherencia orekóva candidato favorito política fiscal ha atención sanitaria rehe.	Umi medio de comunicación McCain-gua oñembohory constantemente umi punto de vista político orekóva rehe.	contradiction	grn
Ko incidente ndaha 'éiva jepiveguáva, pero ndaha 'éi iñambuéva modus operandi estándar apa-gui.	Ko mba 'e ojehu jepive.	contradiction	grn
Oime diferencia inherente ojeporúvo noec térã loec osẽva prueba de hipótesis-gui oñeimo 'ã haguã concentración segura, ha ojeporúvo estimación bc, CE, IC térã ambue punto osẽva ajuste de la curva, interpolación, etc.	Umi estimación bc, CE, ci ha ambue punto-kuéra osẽva prueba de hipótesis-gui.	contradiction	grn
Primero, ¿ ndaha 'éi piko che experimento de pensamiento ndahasyieteva 'erã he 'i hag̃ua mba 'eve mundo real rehe?	Che experimento de pensamiento ningo hasyeterei ha ikatu he 'i ñandéve mba 'eichaguápa ko mundo.	contradiction	grn
Heta mbo'ehára oiporúva umi minifalda uh ndorekóiva regulación hese ha heta mitãnguéra ojapo por supuesto ha ikatúne ombopochy umi kuimba'e mbo'ehára	Mbo 'eharakuéra oipuru pantalón.	contradiction	grn
Saro 'y XIX ñepyrûme, territorio occidental Estados Unidos-gua ha 'e va 'ekue gueteri ndojejesarekojepéiva.	Umi territorio occidental América-pe ojejuhúkuri siglo XIX-pe.	contradiction	grn
Upéva ikatu ndejopy vai.	Péva ome 'êta ndéve vy 'a guasu.	contradiction	grn
Segregación lado sur de Chicago-pe ivai Compton-pe guáicha, ha oñeñe 'êramo umi mboriahúre ha omotenondévo espacio público Disney-pe, upéicharô Rudolph Giuliani táva Nueva York-gua ha 'ete omoakãva industria ko'ágãgua.	Segregación ndaha 'éi peteî problema Chicago-pe.	contradiction	grn
Hákatu, umi tembiapo oikotevê flexibilidad.	Mba 'apohápe natekotevêi oñemoambue mba 'eve.	contradiction	grn
Psicología de las conductas de adicción-kuéra 1993	Psicología de las conductas de adicción oñemoherakuãva 1932	contradiction	grn
Anacrónico anacrónico de brock ojogua juego moda seis grados de kevin bacon, ohechaukáva actor ikatuha ojoaju oimeraẽ actor ambue mundo-pe serie de pasos mbykymi.	Brock redbaiting ndojoguái Kevin Bacon juego seis grados rehe.	contradiction	grn
Iporâ, ko'áĝa ndaipóri mba'eve iporâvéva. Che ahayhu jardinería ha che ahayhu camping ha reikuaa vacaciones ko'âichagua mba'e ndarekói mba'eve iporâva	Añetehápe ndaipóri mbaʼeve chegustaitereíva.	contradiction	grn
Péro oĩ umi ndoguerohorýiva upéva.	Avave ndorekói apañuãi upéva rehe.	contradiction	grn
Añetehápe aikuaa John Lennon versión kuñáva, pero	Aikuaa John Lennon-pe imitã ha imitãrusúpe.	contradiction	grn
Ko 'ágã eguapy hupápe.	Epyta nde rupa guýpe.	contradiction	grn
Greco (ary 1541) heñoiva'ekue cete-pe ha oikova'ekue Italia-pe, upeichavérõ jepe oiko chugui peteĩ pintor español katupyry.	El Greco ndaha 'éi va 'ekue peteĩ pintor español.	contradiction	grn
Umi fondo fiduciario-pe g̃uarã (ndaha 'éi umi fondo rotativo fiduciario) ha fondo especial-pe g̃uarã, oñemyesakãháicha ambue hendápe, interés ha 'e jepi, jepéramo ndaha 'éi katuete, ingreso nonexchange.	Interés umi fondo fiduciario rehe ha 'e jepi ingreso ndaha 'éiva comercial.	contradiction	grn
Ha katu ndahasýi ojeporu hagua.	Koʼã mbaʼe ijetuʼu jaipuru hag̃ua.	contradiction	grn
Pero Barnes presumiblemente oguata hetave gente Microsoft-gua ndive umi javasoft-gua ndive, ha oiméne omono 'õ hikuái punto de vista, aikuaaháicha ha 'e ojapóne avei ko 'ã circunstancia-pe.	Barnes katuete oĩ ha 'eño.	contradiction	grn
"""Roguerekópa ko'ápe yvate, térãpa jaha restaurante-pe?"" 41 tuppence he'i ohayhuvehague upe ipahague, ha Julius ombotove decisión."	Julius ha 'e tuppence ruvicha guasu.	contradiction	grn
"""Upéicharamo, ndorojapomo'âi""."	Roime embargo-pe taha 'eha 'ã ha 'éva.	contradiction	grn
Si, bueno, ore ndorojapovéima heta mba'e, pero yma roiporu'imi, pero aimo'ã mba'e ivaivéva ha'e oky jave reguerekóramo peteî temporada de lluvias ha rejapóramo.	Pe mba 'e ivaivéva ha 'e kuarahy ha ára hesakã jave oñeme 'ẽramo ndéve peteî temporada kuarahy porãme ha reho campamento-pe.	contradiction	grn
Ko'ã mba'apohára hierro ha acero-gua ikatu oiporavo oikévo boilermakers-pe sa'ive requisito de formación completo de cuatro años orekóva nivel de conocimiento ha habilidades.	Umi mba'apohára acero-gua añoite oreko opción oñemoambue haguã boilerworkers-pe, umi mba'apohára hierro-gua ndikatúi.	contradiction	grn
Ko ñe'ê omyenyhê iñakâme ku kuñataî he'ihaguéichajepi mokôive ijapysápe.	Pe mitãkuña noñeʼẽséi hendive.	contradiction	grn
Che mborayhu, che mborayhu, ndaikuaái kuri upéva!	Aikuaáma ágã arapokõindýpe.	contradiction	grn
Ha ha'e ombopu piano ha péicha ha'e omoî nota vai sapy'ánte pero upéi ha'e omboty he'ívo práctica ojapóva perfecto ha upéi reikuaa oñe'êvo chugui vida cristiana-pe avei ha iporâiterei	Opurahéi piano-pe hekopete ha ombopu nota correcta tapiaite.	contradiction	grn
Ore jeporeka 1996 / 97-pe rojuhu amo 60% térã hetave umi superintendente ha administrador-kuéra he 'íva umi organismo ndojapói hague chupekuéra capacitación oñeikotevẽva omotenonde haguã umi tarea de gestión crítica ha ojehupytyséva.	Ore jeporekapýpe 1996 / 97 rojuhu amo 60 por ciento umi supervisor ha directivo-gui he 'íva umi organismo ndojapóiha capacitación oñeikotevêva.	contradiction	grn
Umi buque de vapor línea matson oguahëma katuete aloha tower-pe, ogueru turista San Francisco-gua oiméva mar-pe po ára pukukue.	Pe viaje San Francisco guive torre aloha peve ha'e peteî aravo añónte!	contradiction	grn
Oguereko hetaiterei aravo oñenkarga hag̃ua.	Oguereko hikuái 2 minuto BILL-pe g̃uarã, ¿ nahániri?	contradiction	grn
Ha mba'e ambue mba'e oime okápe ko'ágã ahecha	Ndaikatuvéima ahecha, jepémo oî heta mba 'e upérupi.	contradiction	grn
Plaza-pe oñemotenonde gran techo, ha'éva joya umi edificio siglo XIX-pegua.	Bordeaux oreko sa 'i óga ojuhúva siglo XIX-pe.	contradiction	grn
Ko'ã legislación ome'êva oréve peteî carrera técnica ha científica peteî nivel de compensación ojoajúva cielo único rehe.	Legislación ohapejoko ome'êvo nivel de compensación ojoajúva sexo orekóva carrera científica.	contradiction	grn
Ary 2000 jave, ombopyahu fuente de financiación orekóva 5 dólar-pe.	Ko'ágã ndoguerekói gueteri forma diversificación fuente de financiación ko 'ã ary 2000 peve.	contradiction	grn
Sí, peteĩ'esperanza vana '	Síno, ndaipóri esperánsa umíva rehehápe.	contradiction	grn
Che pyti 'a ha 'e umi arco peteî rayhupápe dirección general-pe.	Ndaikatúi ajapo peteî rayhu che kuãgui.	contradiction	grn
Ha jaha tenonde gotyo	Araka 'eve ndohasamo 'ãi ichugui.	contradiction	grn
Arekórõ guare 12 áño, che ermanokuéra chejopýkuri yvyra rakãre.	Umi ermáno arakaʼeve noñorairõi ojuehe.	contradiction	grn
(aguyje)	Nahániri, aguyje ndéve.	contradiction	grn
"""Moõpa oime bradshaw?"" ""Julius energía ha'e contagiosa""."	Julius energía okañy chugui.	contradiction	grn
Kenneth Starr ikatu oguenohê marandu paha ombotovéva Clinton-kuérape.	Kenneth Starr-pe noñemombe 'úi mba 'eve ha omomba 'eguasu Clinton-kuérape.	contradiction	grn
Omomba 'e guasu hikuái poses heroicas, napoleónicas, mano a corazón, ojapóva ko 'ã panqueque ha transigente ha 'éva ridículo debacle de la guerra civil rire.	Umi heroico pose napoleónico umi comrpomisers ohecha añetéva opavave observador-pe guerra civil rire.	contradiction	grn
Ko'ã mba'apohára oho avei Asociación de Directores de Proyectos del Medio Oeste ha Asociación de Directores de Proyectos del Sureste atýpe ary pukukue javeve.	Ko'ã mba'apohára ndohói mba'eveichagua atýpe ary ohasava'ekuépe.	contradiction	grn
Ahendu sapy 'a pehẽngue oñomongetáva karia 'y de Lyon ndive.	Binoculares rupive, 100 metro mombyry guive, ahecha oñomongetávo peteî kuimba 'e Lyon-pe.	contradiction	grn
Oñemopu'ã 1472 jave Mehmet el conquistador-pe g̃uarã, ha oñemohenda azulejos turquesa ha azul rehe, edificio ojehecharamovéva plaza-pe ha'e kiosco de azulejos (tinili keske).	Ko kiosco de azulejos oñemopu 'ã va 'ekue Jesucristo-pe g̃uarã.	contradiction	grn
Upéicha roguenohê ha roguenohê heta ary rupi roguenohê jeývo ko'ágã tuichaiterei	Upéicha amo ipahápe roguerekova 'ekue, pero roñemomba 'e'ỹ hese ko 'ágã peve roguerekóva navegación-pe.	contradiction	grn
Añetehápe, ndaha'éi mba'eveichagua disuasión ha añe'êse opavave ndive he'íva ko'ágã ha'eha peteî factor de disuasión uh peteî factor de disuasión ndaha'éigui	Ahechakuaa ndaha 'éiha peteî factor de disuasión.	contradiction	grn
Ha 'e poriahuverekoitépe omyesakã, ha 'e peteî forma sutil oipurúva ñandéve.	Haʼe osapukái chupe ha heʼi umi ombaʼeporandúvape osẽ hag̃ua chuguikuéra ndajahayhúiramo chupekuéra.	contradiction	grn
